title,petType,images,description
Retractable Cat Wand (Orange),cat,https://m.media-amazon.com/images/I/51VTS7FvDRL._SS522_.jpg~https://m.media-amazon.com/images/I/31PHmP+t5sL._SS522_.jpg~https://m.media-amazon.com/images/I/31yG83hz2sL._SS522_.jpg~https://m.media-amazon.com/images/I/41qKmRmqTkL._SS522_.jpg,Retractable Cat Wand (Orange)
"Avianweb Arm & Hand Perch (X-Large (1.5"" dowel))",bird,https://m.media-amazon.com/images/I/41tkMFbAxUL._SS522_.jpg~https://m.media-amazon.com/images/I/41AEufQAsML._SS522_.jpg~https://m.media-amazon.com/images/I/51TPYUpcCdL._SS522_.jpg~https://m.media-amazon.com/images/I/31075HjNJML._SS522_.jpg~https://m.media-amazon.com/images/I/31E+lxLuHLL._SS522_.jpg~https://m.media-amazon.com/images/I/41OX9vU37JL._SS522_.jpg~https://m.media-amazon.com/images/I/51vtp+cIHKL._SS522_.jpg~https://m.media-amazon.com/images/I/41sEmL5PsWL._SS522_.jpg,
Backyard Barnyard Chicken Swing Toy for Coop (Round Bar) Handmade in USA! Natural Safe Large Wood Perch Ladder for Poultry Run Rooster Hens Chicks Pet Parrots Pollo Stress Relief for Birds,bird,https://m.media-amazon.com/images/I/412neI904zL._SS522_.jpg~https://m.media-amazon.com/images/I/31uS36f3k8L._SS522_.jpg~https://m.media-amazon.com/images/I/31TpS-r9mnL._SS522_.jpg~https://m.media-amazon.com/images/I/51iJ11-PpZL._SS522_.jpg~https://m.media-amazon.com/images/I/41h8pe3YEBL._SS522_.jpg~https://m.media-amazon.com/images/I/31FUwO811ML._SS522_.jpg~https://m.media-amazon.com/images/I/31yRocucdGL._SS522_.jpg,Backyard Barnyard Chicken Swing Toy for Coop (Round Bar) Handmade in USA! Natural Safe Large Wood Perch Ladder for Poultry Run Rooster Hens Chicks Pet Parrots Pollo Stress Relief for Birds
"Prevue Pet Products BPV1155 Bamboo Covered Breeding Nest Hut for Birds, Large",bird,https://m.media-amazon.com/images/I/51mxIXlOWcL._SS522_.jpg~https://m.media-amazon.com/images/I/51K607EYaBL._SS522_.jpg~https://m.media-amazon.com/images/I/31ziLUSaoSL._SS522_.jpg,Prevue Pet covered nest hut for breeding purposes. Made of all natural bamboo to make the bird feel at home. Provides birds with a natural environment. Ideal for small birds and parakeets. Measures 6-inch height by 4-1/2-inch diameter.
CuddlyPet Hammock for Dogs,dog,https://m.media-amazon.com/images/I/41qXzfsNrCL._SS522_.jpg,"[ Powerful Functions ]: Even at home, you can easily accomplish the same things as the pet hospital grooming table, such as trimming nails, grooming, bathing, eye, and ear health care, injections, checking various body indicators, etc. 🐕 [ Suitable for Most Cats & Small Dogs ]: Suitable for cats, small dogs, medium dogs under 30 lb, eg: Cats, Poodle, Bichon Frise, Chihuahua, Fawn, Pug, Papillon, Pomeranian, Pekingese, Maltese, Yorkshire Terrier, etc. 🐕 [ Professional Dog Grooming Kit ]: Nail clipper x 1(safety stop guard design), Nail file x 1, Pet comb x 1 (rounded ends stainless steel teeth), Premium quality S-hook x 4 (suitable for the round bar), Hanging Sling x 2(suitable for the irregular bar ) 🐕 [ Comfortable and Soft ]: Using Double-layer fabric design, Inner fabric use High-density knitted material, and the outer uses 3D air-mesh technology. Besides, Thickened edge of the front and rear legs and excellent breathability can reduce friction to protect pets, and keep puppies calm and maximum relaxation. 🐕 [ Choose the Right Size ]: Please read the size chart and measure the spacing between the front and rear legs (5.9 - 9 inches) for your pets before purchasing. If you have another question, please connect us."
"Noodoky Pet Stroller for Cats Dogs Rabbit with Reversible Handle, Dog Stroller for Small or Medium Animal up to 40 Pounds, Doggie Bunny Stroller Carriage (Gray)",small-animals,https://m.media-amazon.com/images/I/413yY56pJZS._SS522_.jpg~https://m.media-amazon.com/images/I/51JxYCoj3zL._SS522_.jpg~https://m.media-amazon.com/images/I/619Nb5+c-lL._SS522_.jpg~https://m.media-amazon.com/images/I/61vANBlgA9L._SS522_.jpg,"Noodoky Pet Stroller for Cats Dogs Rabbit with Reversible Handle, Dog Stroller for Small or Medium Animal up to 50 Pounds, Doggie Bunny Stroller Carriage"
"Ubersweet® Gold, 25X14X16Cm: Three Levels Tower Tracks Disc Cat Pet Toy Intelligence Amusement Rides Shelf Dog Cat Training A",cat,https://m.media-amazon.com/images/I/41szQK1eFPL._SS522_.jpg~https://m.media-amazon.com/images/I/413j8U7FNpL._SS522_.jpg~https://m.media-amazon.com/images/I/41bQC4+u7VL._SS522_.jpg~https://m.media-amazon.com/images/I/41bQC4+u7VL._SS522_.jpg,"Ubersweet Gold, 25X14X16Cm: Three Levels Tower Tracks Disc Cat Pet Toy Intelligence Amusement Rides Shelf Dog Cat Training A"
"PetNest CR-1 Quality Safest Round Organic Bird Nest House Purely Handmade Love Birds/Sparrow, Small Birds (Brown) (1 Nos)",bird,https://m.media-amazon.com/images/I/51hLGvHHK3L._SS522_.jpg~https://m.media-amazon.com/images/I/515wT6-sGrL._SS522_.jpg~https://m.media-amazon.com/images/I/51+g0RKP-YL._SS522_.jpg~https://m.media-amazon.com/images/I/51IoCQIXuBL._SS522_.jpg,"You may be interested in having a bird house just for decoration, or you may be trying to attract certain types of birds. However, if you want to attract a specific species, in most cases, you will need to build or buy a specific type of bird house. . Most bird houses are square or rectangular and feature an entrance hole, keep in mind the size of the box and the size of the entrance hole will aThis nest box will be a welcome addition to your window grill, garden, balcony or backyard installing it is as easy. Attract a range of garden birds like sparrows, tits and other small cavity nesting birds. The nest box has sparrow specific entry hole which prevents other predators from entering inside. Installation is as easy as putting a photo frame. Will help you watch birds from close quarters. Will make your home or office a bird sanctuary by attracting a range of garden birds. Ideal to be gifted as a good nature gift. Made from 100 percent recycled and durable wood. It's handmade and hand painted. Made in india. This is a conservation product and contributes towards habitat creation, conservation, increasing population of sparrows and other small birds. Make sure that your nesting box is installed well before the breeding season begins. Don't be discouraged if birds don't begin nesting in it immediately sometimes it takes time for birds to discover the nest box. Attention is make sure you can open the side door for cleaning each season. Remove or omit perches on the birdhouse. They're not necessary and can attract unwanted pest birds. In general, nest boxes can be mounted higher than when mounted on a fence post. It can prevent some predators from climbing. Golf courses, cultivated fields, gardens and yards are potentially good habitats for nest boxes, but avoid areas where pesticides and herbicides are used. Those are not only harmful to birds, they decrease and sometimes eliminate the insect populations that are the primary food source for many cavity-nesting species."
"Yellow Dog Design Easter Dogs Coupler Dog Leash 3/4"" Wide and 12 to 20"" Long, Medium",dog,https://m.media-amazon.com/images/I/41QJNt4wJmL._SS522_.jpg,
DIYthinker One Gesture Outline Pattern Pet Tag Keychain Dog Cat ID,dog,https://m.media-amazon.com/images/I/31lO7cD0OuL._SS522_.jpg~https://m.media-amazon.com/images/I/31Ieh-lVvPL._SS522_.jpg~https://m.media-amazon.com/images/I/41Obonum37L._SS522_.jpg~https://m.media-amazon.com/images/I/41C4UWlUodL._SS522_.jpg,"Size: The pendant size is 4.3x3.3cm(1.7 inch x 1.3 inch) and the chain length 36.2cm (14.3 inch)Classification: Dog Tag, Pendant, NecklaceFeature: Polished mirror surface, stainless steel material, safe fit for your pet, anti-corrosion, hypoallergenic, no deformation and rust;Personalized dog tags;Choice of Bright Colors.Material: This product is made of quality stainless steel.Package Quantity: 1 x Dog TagThis product can be personalized. Please order first and send your picture to me by Email..We wish to bring everyone's ideas into reality. We provide the greatest product choice for you, such as 3C, mugs and dishes , wall decorations, car peripherals or clothing accessories."
